,주문자ID,상품구매금액,나이,성별,유입경로,유입기기,사업자구분,회원구분,가입-최종주문기간,AgeGroup,region
49,10579328@n,274680,45,남자,SNS광고,모바일,개인,일반,75,45-49,인천광역시
50,1057945738@k,115070,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
51,1059968519@k,98600,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
52,1061248718@k,63070,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
53,1061301774@k,182980,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
54,106152948@n,77000,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
55,1061836677@k,45190,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
56,1062076148@k,138890,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
57,10686533@n,101640,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
58,1069405155@k,100920,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
59,10705357@n,87120,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도
60,1074130640@k,69400,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
61,1075139712@k,107970,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
62,1076058407@k,285770,39,남자,유튜브광고,PC,개인,일반,17,35-39,오프라인
63,107632036@n,918380,40,남자,SNS광고,모바일,개인,일반,243,40-44,경상남도
64,1076608997@k,63620,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
65,107780155@n,39000,47,남자,SNS광고,모바일,개인,일반,52,45-49,경기도
66,1083107756@k,107210,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
67,10834134@n,68970,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
68,10843505@n,81600,46,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
69,108612859@n,113380,48,남자,블로그광고,모바일,개인,일반,1,45-49,충청남도
70,10874046@n,113720,46,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도
71,1087561856@k,61900,46,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
72,1088225570@k,48600,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
73,108964404@n,265600,44,남자,SNS광고,모바일,개인,일반,263,40-44,대전광역시
74,108984515@n,122860,46,남자,SNS광고,모바일,개인,일반,20,45-49,오프라인
75,1090570620@k,154410,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
76,1090959153@k,172220,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
77,1092978360@k,98600,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
78,109319048@n,638320,36,남자,이메일광고,PC,개인,일반,363,35-39,경상남도
79,10935096@n,78800,40,남자,SNS광고,모바일,개인,일반,1,40-44,전라북도
80,1094652352@k,77000,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
81,1094746791@k,300000,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
82,109844993@n,99660,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
83,10989316@n,81600,45,남자,SNS광고,모바일,개인,일반,41,45-49,대전광역시
84,10992358@n,550940,46,남자,블로그광고,PC,개인,일반,1,45-49,서울특별시
85,109963639@n,159820,46,남자,SNS광고,모바일,개인,일반,71,45-49,오프라인
86,11096193@n,118250,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
87,11098155@n,55870,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
88,111139172@n,60720,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
89,111681891@n,773560,40,여자,인터넷기사광고,PC,개인,일반,433,40-44,경기도
90,11178928@n,43500,47,여자,SNS광고,모바일,개인,일반,0,45-49,대전광역시
91,11185770@n,73850,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도
92,111897872@n,123800,40,남자,인터넷기사광고,PC,개인,일반,316,40-44,오프라인
93,11227273@n,70620,42,남자,SNS광고,모바일,개인,일반,137,40-44,대전광역시
94,112549561@n,348580,43,남자,블로그광고,PC,개인,일반,176,40-44,경기도
95,112937542@n,133620,46,남자,SNS광고,모바일,개인,일반,8,45-49,부산광역시
96,11321210@n,640230,25,여자,카카오톡광고,모바일,개인,일반,198,25-29,전라남도
97,113969589@n,1030600,27,여자,카카오톡광고,모바일,개인,일반,46,25-29,오프라인
98,1141025@n,126980,46,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
99,11470195@n,471790,38,남자,SNS광고,모바일,개인,일반,7,35-39,서울특별시
100,114809986@n,103500,48,남자,블로그광고,PC,개인,일반,0,45-49,인천광역시
101,115136874@n,75570,46,남자,SNS광고,모바일,개인,일반,0,45-49,충청북도
102,115349556@n,159460,46,남자,블로그광고,PC,개인,일반,111,45-49,충청남도
103,115424915@n,430270,26,여자,이메일광고,PC,개인,일반,362,25-29,경기도
104,11569157@n,116000,45,남자,SNS광고,모바일,개인,일반,1,45-49,부산광역시
105,115897476@n,3043770,40,여자,SNS광고,모바일,개인,일반,274,40-44,서울특별시
106,115929032@n,144230,48,남자,블로그광고,모바일,개인,일반,0,45-49,대구광역시
107,11599985@n,78760,47,남자,SNS광고,모바일,개인,일반,0,45-49,인천광역시
108,116083227@n,83550,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
109,116175245@n,199400,48,남자,블로그광고,PC,개인,일반,5,45-49,충청남도
110,116235519@n,193760,40,남자,SNS광고,모바일,개인,일반,76,40-44,경상남도
111,11625578@n,50160,47,남자,SNS광고,모바일,개인,일반,206,45-49,광주광역시
112,11673332@n,228360,45,남자,SNS광고,모바일,개인,일반,21,45-49,울산광역시
113,1169534567@g,649240,51,남자,블로그광고,PC,개인,일반,0,50-54,경상남도
114,11712326@n,347100,49,남자,블로그광고,모바일,개인,일반,2,45-49,부산광역시
115,117226079@n,48500,46,남자,SNS광고,모바일,개인,일반,1,45-49,오프라인
116,117254757@n,654990,40,남자,SNS광고,모바일,개인,일반,211,40-44,대구광역시
117,117421346@n,53900,47,남자,블로그광고,PC,개인,일반,0,45-49,전라남도
118,119347465@n,292090,38,남자,신문광고,PC,개인,일반,344,35-39,울산광역시
119,12024137@n,130180,44,남자,SNS광고,모바일,개인,일반,123,40-44,전라남도
120,1207579@n,1228330,40,여자,지인추천,PC,개인,일반,424,40-44,경기도
121,12102532@n,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
122,121506699@n,39740,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
123,12192782@n,138300,44,남자,SNS광고,모바일,개인,일반,185,40-44,대구광역시
124,12199150@n,79880,44,남자,SNS광고,모바일,개인,사업자,0,40-44,부산광역시
125,12228241@n,98860,48,남자,블로그광고,PC,개인,일반,0,45-49,강원도
126,12230507@n,81350,45,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도
127,12233673@n,96460,48,남자,블로그광고,PC,개인,일반,0,45-49,대전광역시
128,12253377@n,98600,45,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
129,123077344@n,569380,45,남자,블로그광고,PC,개인,일반,218,45-49,경기도
130,123465082@n,101420,29,남자,카카오톡광고,모바일,개인,일반,78,25-29,경상남도
131,123814931@n,316710,40,남자,유튜브광고,PC,개인,일반,22,40-44,서울특별시
132,125302599@n,174240,48,남자,블로그광고,PC,개인,일반,0,45-49,서울특별시
133,125309226@n,1232450,54,남자,블로그광고,모바일,개인,일반,345,50-54,울산광역시
134,125361180@n,768330,37,남자,유튜브광고,PC,개인,일반,118,35-39,부산광역시
135,125650836@n,80450,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
136,125880070@n,9360,46,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
137,126004908@n,78870,36,남자,카카오톡광고,모바일,개인,일반,3,35-39,제주특별자치도
138,126051463@n,1105265,40,남자,SNS광고,모바일,개인,일반,17,40-44,경상북도
139,12641103@n,1721220,52,남자,블로그광고,PC,개인,사업자,513,50-54,인천광역시
140,127229908@n,61970,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시
141,12729895@n,32610,43,여자,블로그광고,PC,개인,사업자,0,40-44,부산광역시
142,127538389@n,74990,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
143,127550622@n,143120,45,남자,SNS광고,모바일,개인,일반,97,45-49,경기도
144,127687613@n,127760,48,남자,블로그광고,모바일,개인,일반,0,45-49,인천광역시
145,12951288@n,79420,47,남자,SNS광고,모바일,개인,일반,0,45-49,광주광역시
146,130152621@n,185800,48,남자,블로그광고,PC,개인,일반,0,45-49,경상북도
147,130865688@n,124250,46,남자,SNS광고,모바일,개인,일반,182,45-49,서울특별시
148,13116190@n,99350,43,남자,SNS광고,모바일,개인,일반,259,40-44,서울특별시
149,13180696@n,848755,53,남자,블로그광고,PC,개인,일반,0,50-54,강원도
150,13195891@n,72270,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도
151,132165967@n,171720,48,남자,블로그광고,PC,개인,일반,0,45-49,경기도
152,132351155@n,1487770,30,남자,카카오톡광고,모바일,개인,일반,390,30-34,경상북도
153,132532451@n,73850,48,남자,블로그광고,PC,개인,일반,0,45-49,전라남도
154,132656640@n,48500,47,남자,블로그광고,PC,개인,일반,0,45-49,경상남도
155,13337509@n,68200,40,남자,인터넷기사광고,PC,개인,특별회원,0,40-44,경기도
156,13382753@n,78870,47,남자,SNS광고,모바일,개인,일반,0,45-49,세종특별자치시
157,13405757@n,139340,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
158,13435378@n,58410,36,남자,카카오톡광고,모바일,개인,일반,60,35-39,대구광역시
159,134513950@n,1120550,37,남자,SNS광고,모바일,개인,일반,560,35-39,대구광역시
160,135014997@n,126140,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
161,135243092@n,51810,47,남자,블로그광고,PC,개인,일반,0,45-49,인천광역시
162,13532597@n,578510,31,남자,유튜브광고,PC,개인,일반,136,30-34,인천광역시
163,135337305@n,77000,46,남자,SNS광고,모바일,개인,일반,0,45-49,경상북도
164,13575577@n,183050,48,남자,블로그광고,PC,개인,일반,22,45-49,서울특별시
165,136149570@n,259280,49,남자,블로그광고,모바일,개인,일반,15,45-49,전라남도
166,13643473@n,57850,46,남자,SNS광고,모바일,개인,일반,49,45-49,오프라인
167,137197918@n,148100,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
168,138435303@n,131670,47,남자,SNS광고,모바일,개인,일반,0,45-49,부산광역시
169,138511981@n,2590780,40,남자,SNS광고,모바일,개인,일반,314,40-44,부산광역시
170,138741549@n,637635,51,남자,블로그광고,PC,개인,일반,1,50-54,경상북도
171,140050498@n,35900,47,남자,SNS광고,모바일,개인,일반,0,45-49,강원도
172,141015665@n,61900,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
173,141041106@n,55110,47,남자,블로그광고,PC,개인,일반,181,45-49,경기도
174,1411590@n,700230,40,여자,SNS광고,모바일,개인,일반,162,40-44,충청북도
175,141523440@n,53900,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
176,141658082@n,527600,40,남자,유튜브광고,PC,개인,일반,91,40-44,서울특별시
177,141870846@n,126100,47,남자,SNS광고,모바일,개인,일반,16,45-49,경상남도
178,14240808@n,45910,47,남자,SNS광고,모바일,개인,일반,0,45-49,울산광역시
179,142432057@n,2141330,22,여자,카카오톡광고,모바일,개인,일반,374,20-24,서울특별시
180,142524087@n,115800,48,남자,블로그광고,모바일,개인,일반,0,45-49,서울특별시
181,14256488@n,2715030,40,남자,SNS광고,모바일,개인,일반,334,40-44,부산광역시
182,14295788@n,3864220,40,남자,인터넷기사광고,PC,개인,일반,515,40-44,서울특별시
183,144151978@n,121290,46,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
184,144459612@n,70120,44,남자,블로그광고,PC,개인,사업자,0,40-44,인천광역시
185,144837068@n,119750,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
186,14508436@n,68970,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도
187,145104924@n,55870,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
188,145327106@n,81310,45,남자,기타,모바일,개인,일반,47,45-49,충청남도
189,14632589@n,81600,47,남자,SNS광고,모바일,개인,일반,0,45-49,광주광역시
190,14671857@n,2524570,39,여자,SNS광고,모바일,개인,일반,370,35-39,경상북도
191,146783527@n,252940,40,남자,SNS광고,모바일,개인,일반,115,40-44,경기도
192,14694906@n,8615255,24,여자,카카오톡광고,모바일,개인,일반,358,20-24,대전광역시
193,1472528@n,118140,45,남자,SNS광고,모바일,개인,일반,1,45-49,대전광역시
194,147853521@n,126500,48,남자,블로그광고,모바일,개인,일반,0,45-49,강원도
195,14807254@n,101400,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도
196,148852812@n,69800,46,남자,SNS광고,모바일,개인,일반,29,45-49,오프라인
197,149309674@n,125970,46,남자,블로그광고,PC,개인,일반,47,45-49,서울특별시
198,149642034@n,465800,26,여자,카카오톡광고,모바일,개인,일반,54,25-29,충청북도
199,150329090@n,60000,47,남자,블로그광고,PC,개인,일반,0,45-49,경기도
200,1506058@n,106620,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
201,15071898@n,132000,48,남자,블로그광고,모바일,개인,일반,0,45-49,경기도
202,15179994@n,91670,48,남자,블로그광고,모바일,개인,일반,0,45-49,인천광역시
203,151998384@n,202170,41,남자,SNS광고,모바일,개인,일반,278,40-44,인천광역시
204,152269897@n,980660,40,여자,SNS광고,모바일,개인,일반,141,40-44,전라남도
205,152541790@n,296970,49,남자,블로그광고,PC,개인,일반,77,45-49,인천광역시
206,15404226@n,78900,47,남자,SNS광고,모바일,개인,일반,0,45-49,광주광역시
207,15450330@n,98980,44,남자,SNS광고,모바일,개인,일반,41,40-44,경기도
208,15464291@n,12750,47,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도
209,154702787@n,57850,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
210,155273889@n,61700,47,남자,블로그광고,PC,개인,일반,0,45-49,강원도
211,155452391@n,55870,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
212,15586823@n,636950,29,여자,이메일광고,PC,개인,일반,246,25-29,경기도
213,1559740@n,40500,47,여자,블로그광고,PC,개인,일반,0,45-49,서울특별시
214,156257887@n,98360,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
215,156563101@n,59670,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
216,15781174@n,523120,43,남자,SNS광고,모바일,개인,일반,54,40-44,오프라인
217,158123364@n,624355,51,남자,블로그광고,PC,개인,일반,0,50-54,경상북도
218,158316672@n,103600,48,남자,블로그광고,모바일,개인,일반,0,45-49,부산광역시
219,158430199@n,202290,41,남자,SNS광고,모바일,개인,일반,19,40-44,경기도
220,15890626@n,57000,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
221,159146639@n,37380,45,남자,SNS광고,모바일,개인,일반,0,45-49,울산광역시
222,16066873@n,1862700,40,남자,SNS광고,모바일,개인,일반,84,40-44,경상남도
223,16103428@n,886800,40,남자,인터넷기사광고,PC,개인,일반,363,40-44,부산광역시
224,16110019@n,143010,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
225,16141130@n,59990,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
226,16277220@n,1711340,23,여자,카카오톡광고,모바일,개인,일반,121,20-24,인천광역시
227,162886330@n,564430,40,남자,SNS광고,모바일,개인,일반,104,40-44,충청남도
228,163724586@n,43030,47,남자,블로그광고,PC,개인,일반,0,45-49,경기도
229,16389333@n,148060,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
230,16398578@n,51500,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
231,16409202@n,1712620,40,여자,SNS광고,모바일,개인,일반,272,40-44,세종특별자치시
232,1644720635@g,780030,42,남자,블로그광고,PC,개인,일반,141,40-44,전라남도
233,16471396@n,423150,43,남자,블로그광고,PC,개인,일반,67,40-44,서울특별시
234,16498660@n,636130,41,남자,SNS광고,모바일,개인,사업자,227,40-44,경기도
235,165083981@n,493500,22,여자,카카오톡광고,모바일,개인,일반,124,20-24,경기도
236,16555569@n,116000,47,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
237,16642165@n,249000,49,남자,블로그광고,모바일,개인,일반,0,45-49,서울특별시
238,16662876@n,66500,46,남자,SNS광고,모바일,개인,일반,0,45-49,경기도
239,166717847@n,183040,46,남자,SNS광고,모바일,개인,일반,109,45-49,경상남도
240,167222579@n,131440,46,남자,SNS광고,모바일,개인,일반,224,45-49,충청남도
241,16846690@n,206980,42,남자,SNS광고,모바일,개인,일반,74,40-44,경기도
242,16866241@n,132330,42,남자,SNS광고,모바일,개인,일반,0,40-44,서울특별시
243,169080863@n,350410,48,남자,블로그광고,PC,개인,일반,24,45-49,전라북도
244,16997600@n,119020,47,남자,SNS광고,모바일,개인,일반,0,45-49,대구광역시
245,17037228@n,116000,45,남자,SNS광고,모바일,개인,일반,0,45-49,경상남도
246,170648925@n,478790,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
247,171008117@n,80070,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
248,17152071@n,318100,47,남자,SNS광고,모바일,개인,일반,49,45-49,경기도
249,17181616@n,142030,41,남자,SNS광고,모바일,개인,일반,95,40-44,서울특별시
250,17298547@n,4149905,63,남자,인터넷기사광고,모바일,개인,일반,348,60-64,경상남도
251,17341708@n,57850,45,남자,SNS광고,모바일,개인,일반,1,45-49,오프라인
252,173754849@n,162490,41,남자,유튜브광고,PC,개인,일반,1,40-44,서울특별시
253,17404398@n,14000,43,여자,SNS광고,모바일,개인,사업자,0,40-44,서울특별시
254,174691867@n,230010,44,남자,SNS광고,모바일,개인,일반,0,40-44,오프라인
255,174946360@n,125630,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
256,175486314@n,64070,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
257,17689457@n,120000,47,남자,SNS광고,모바일,개인,일반,62,45-49,전라북도
258,17758271@n,26780,47,여자,블로그광고,PC,개인,일반,0,45-49,경기도
259,17819329@n,311650,40,남자,SNS광고,모바일,개인,일반,275,40-44,대구광역시
260,17884468@n,183050,47,남자,블로그광고,PC,개인,일반,113,45-49,충청남도
261,18177280@n,140660,70,남자,신문광고,PC,개인,일반,0,70-74,경상남도
262,18287260@n,263160,32,남자,카카오톡광고,모바일,개인,일반,48,30-34,경기도
263,18465128@n,10000,47,여자,SNS광고,모바일,개인,일반,0,45-49,경상남도
264,18583970@n,1094810,40,여자,SNS광고,모바일,개인,일반,345,40-44,경기도
265,18773814@n,51500,47,남자,블로그광고,PC,개인,일반,0,45-49,서울특별시
266,18905578@n,102380,48,남자,블로그광고,모바일,개인,일반,0,45-49,경기도
267,18956254@n,242880,48,남자,블로그광고,PC,개인,일반,0,45-49,인천광역시
268,19055048@n,193100,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도
269,19118163@n,362040,37,남자,SNS광고,모바일,개인,일반,355,35-39,대구광역시
270,19150839@n,4724560,40,남자,SNS광고,모바일,개인,일반,305,40-44,전라남도
271,1939269293018887@f,73000,47,남자,SNS광고,모바일,개인,일반,0,45-49,전라남도
272,19418408@n,215940,24,여자,유튜브광고,PC,개인,일반,78,20-24,대전광역시
273,19498788@n,265510,44,남자,SNS광고,모바일,개인,일반,67,40-44,경기도
274,19590526@n,69400,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
275,19597837@n,222380,46,남자,SNS광고,모바일,개인,일반,30,45-49,경기도
276,19623619@n,1678310,40,여자,인터넷기사광고,PC,개인,일반,277,40-44,전라북도
277,1963889973925686@f,77370,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
278,19653826@n,75820,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
279,19803644@n,884620,22,남자,카카오톡광고,모바일,개인,일반,406,20-24,강원도
280,20163750@n,451220,40,여자,SNS광고,모바일,개인,일반,48,40-44,경기도
281,20234317@n,185700,47,남자,블로그광고,PC,개인,일반,96,45-49,오프라인
282,20258052@n,744140,46,남자,SNS광고,모바일,개인,일반,95,45-49,경기도
283,20371974@n,119020,43,남자,SNS광고,모바일,개인,일반,0,40-44,서울특별시
284,20373840@n,103300,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
285,20452582@n,307350,49,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도
286,20478006@n,611200,50,남자,블로그광고,모바일,개인,일반,11,50-54,경기도
287,20549653@n,91350,48,남자,블로그광고,모바일,개인,일반,0,45-49,경기도
288,20571993@n,1018440,40,남자,유튜브광고,PC,개인,일반,93,40-44,부산광역시
289,20638847@n,157740,44,남자,SNS광고,모바일,개인,일반,140,40-44,서울특별시
290,20708286@n,72600,47,남자,SNS광고,모바일,개인,일반,1,45-49,부산광역시
291,20754614@n,11740600,37,남자,SNS광고,모바일,개인,일반,465,35-39,경기도
292,20799169@n,99400,43,남자,블로그광고,PC,개인,일반,263,40-44,경기도
293,2094005@n,166430,39,남자,유튜브광고,PC,개인,일반,29,35-39,인천광역시
294,21013121@n,774030,44,남자,SNS광고,모바일,개인,일반,56,40-44,전라남도
295,21067862@n,609760,39,남자,SNS광고,모바일,개인,일반,156,35-39,충청남도
296,21131213@n,142440,42,남자,SNS광고,모바일,개인,일반,0,40-44,서울특별시
297,21133407@n,53900,47,남자,SNS광고,모바일,개인,일반,0,45-49,서울특별시
298,21242084@n,36340,47,남자,SNS광고,모바일,개인,일반,0,45-49,대전광역시
299,21266583@n,670560,22,여자,카카오톡광고,모바일,개인,일반,485,20-24,경기도
300,21272456@n,27200,47,남자,SNS광고,모바일,개인,일반,0,45-49,오프라인
301,21283584@n,362480,49,남자,블로그광고,모바일,개인,일반,1,45-49,경기도
302,21448642@n,60720,47,남자,블로그광고,PC,개인,일반,0,45-49,오프라인
303,21456663@n,102380,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상북도
304,21497179@n,543000,37,남자,SNS광고,모바일,개인,일반,251,35-39,서울특별시
305,21527884@n,110880,44,남자,블로그광고,PC,개인,일반,54,40-44,충청북도
306,21640514@n,3377530,41,남자,SNS광고,모바일,개인,사업자,322,40-44,경기도
307,21766772@n,285130,49,남자,블로그광고,PC,개인,일반,0,45-49,전라남도
308,21774075@n,73000,44,남자,블로그광고,PC,개인,사업자,0,40-44,경기도
309,2178453@n,310750,26,남자,인터넷검색,PC,개인,일반,16,25-29,경상남도
310,21844769@n,169770,48,남자,블로그광고,모바일,개인,일반,112,45-49,서울특별시
311,22054220@n,91820,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도
312,2208459@n,787050,36,남자,카카오톡광고,모바일,개인,일반,190,35-39,울산광역시
313,22100861@n,405130,35,남자,유튜브광고,PC,개인,일반,70,35-39,부산광역시
314,22274940@n,228100,48,남자,블로그광고,PC,개인,일반,69,45-49,경기도
315,2234068@n,658100,37,남자,유튜브광고,PC,개인,일반,96,35-39,경기도
316,22348885@n,94000,47,남자,블로그광고,PC,개인,일반,0,45-49,전라북도
317,22395916@n,505340,48,남자,블로그광고,모바일,개인,일반,0,45-49,경상남도
318,22496176@n,75520,47,남자,블로그광고,PC,개인,일반,0,45-49,경기도
