,ID,나이,성별,유입경로,유입기기,회원구분,구매여부,주소(동/읍/면),AgeGroup
78,dmswn9020,40,남자,인터넷기사광고,PC,사업자,1,전라북도,40-45
79,skhomehelp,40,남자,인터넷기사광고,PC,특별회원,1,경기도,40-45
80,withrsw,47,남자,SNS광고,모바일,일반,1,경기도,45-50
81,amordei153,45,남자,블로그광고,PC,사업자,1,경상북도,45-50
82,sork1771,39,남자,인터넷기사광고,PC,사업자,1,충청남도,35-40
83,dancerkim73,47,여자,SNS광고,모바일,사업자,1,충청북도,45-50
84,dltmf6395,47,여자,블로그광고,PC,일반,1,충청북도,45-50
85,gain81,39,여자,SNS광고,모바일,일반,1,경상남도,35-40
86,xnaudlove,44,남자,블로그광고,PC,사업자,1,경상북도,40-45
87,39768741@n,43,남자,SNS광고,모바일,일반,1,서울특별시,40-45
88,hana6138,34,여자,이메일광고,PC,사업자,1,서울특별시,30-35
89,ljh8234,40,남자,인터넷기사광고,PC,사업자,1,경기도,40-45
90,sunnylaw99,39,여자,SNS광고,모바일,사업자,1,서울특별시,35-40
91,eunju0913,54,여자,블로그광고,PC,일반,1,경기도,50-55
92,31823359@n,42,남자,SNS광고,모바일,사업자,1,경기도,40-45
93,jo542500,43,남자,블로그광고,PC,사업자,1,충청북도,40-45
94,loyalty9092,43,남자,SNS광고,모바일,사업자,1,전라북도,40-45
95,smgptnr1,39,남자,인터넷기사광고,PC,사업자,1,인천광역시,35-40
96,17404398@n,43,여자,SNS광고,모바일,사업자,1,서울특별시,40-45
97,12056460@n,44,남자,SNS광고,모바일,사업자,1,경기도,40-45
98,39618168@n,29,남자,카카오톡광고,모바일,사업자,1,경기도,25-30
99,a8747,44,여자,블로그광고,PC,사업자,1,경기도,40-45
100,63083356@n,44,남자,블로그광고,PC,사업자,1,대구광역시,40-45
101,byulsina,47,여자,SNS광고,모바일,일반,1,서울특별시,45-50
102,chlwotjr1019,34,남자,이메일광고,PC,사업자,1,충청북도,30-35
103,duruzoon70,40,남자,인터넷기사광고,PC,사업자,1,경상북도,40-45
104,oys9882,44,남자,블로그광고,PC,사업자,1,경상남도,40-45
105,silver630,43,여자,SNS광고,모바일,사업자,1,서울특별시,40-45
106,vavo5008,41,남자,인터넷기사광고,PC,사업자,1,부산광역시,40-45
107,21774075@n,44,남자,블로그광고,PC,사업자,1,경기도,40-45
108,hjlsh04,47,여자,블로그광고,PC,일반,1,서울특별시,45-50
109,doddhddnd,26,여자,카카오톡광고,모바일,사업자,1,부산광역시,25-30
110,suchoe,44,여자,블로그광고,PC,사업자,1,강원도,40-45
111,y2kmagics,44,남자,블로그광고,PC,사업자,1,오프라인,40-45
112,aipapa,41,여자,인터넷기사광고,PC,사업자,1,광주광역시,40-45
113,chwp1201,45,남자,SNS광고,모바일,사업자,1,서울특별시,45-50
114,1277464189043233@f,47,여자,SNS광고,모바일,일반,1,경기도,45-50
115,37219605@n,45,남자,SNS광고,모바일,일반,1,대구광역시,45-50
116,ansdj6891,29,여자,이메일광고,PC,사업자,1,서울특별시,25-30
117,kkh5652,41,남자,SNS광고,모바일,사업자,1,경상남도,40-45
118,pussen,40,남자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
119,chad0287,26,남자,이메일광고,PC,사업자,1,부산광역시,25-30
120,dosugi,47,남자,블로그광고,PC,일반,1,인천광역시,45-50
121,eunkyong86,42,남자,블로그광고,PC,사업자,1,경상남도,40-45
122,madfox,32,남자,이메일광고,PC,사업자,1,서울특별시,30-35
123,wistudy,44,남자,블로그광고,PC,사업자,1,부산광역시,40-45
124,dhjekd,52,남자,블로그광고,모바일,사업자,1,대전광역시,50-55
125,gofid,54,남자,블로그광고,모바일,사업자,1,경기도,50-55
126,makeupat,44,남자,SNS광고,모바일,사업자,1,서울특별시,40-45
127,setack,35,남자,이메일광고,PC,사업자,1,대전광역시,35-40
128,syobjs,43,남자,블로그광고,PC,사업자,1,인천광역시,40-45
129,12729895@n,43,여자,블로그광고,PC,사업자,1,부산광역시,40-45
130,jh0438,43,남자,블로그광고,PC,사업자,1,전라남도,40-45
131,yang9201,33,남자,이메일광고,PC,사업자,1,전라남도,30-35
132,22496176@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
133,eunjoogod,50,여자,블로그광고,PC,사업자,1,인천광역시,50-55
134,144459612@n,44,남자,블로그광고,PC,사업자,1,인천광역시,40-45
135,450740447@k,43,남자,SNS광고,모바일,사업자,1,부산광역시,40-45
136,lim25kr,50,남자,블로그광고,PC,일반,1,경기도,50-55
137,jjangbeom,27,남자,카카오톡광고,모바일,사업자,1,서울특별시,25-30
138,sinjiruai,37,여자,SNS광고,모바일,사업자,1,경기도,35-40
139,koungjunvic,47,남자,블로그광고,PC,일반,1,경상북도,45-50
140,hbl7272,59,여자,인터넷기사광고,모바일,사업자,1,경기도,55-60
141,ouiwin,43,남자,SNS광고,모바일,사업자,1,경기도,40-45
142,48447276@n,44,남자,블로그광고,PC,사업자,1,경기도,40-45
143,rlawltnr85,34,남자,이메일광고,PC,사업자,1,광주광역시,30-35
144,30110316@n,44,남자,블로그광고,PC,사업자,1,서울특별시,40-45
145,ideawave,40,남자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
146,m032019,68,남자,인터넷기사광고,PC,사업자,1,부산광역시,65-70
147,54501023@n,47,여자,블로그광고,PC,일반,1,서울특별시,45-50
148,legendr6,39,남자,인터넷기사광고,PC,사업자,1,강원도,35-40
149,12199150@n,44,남자,SNS광고,모바일,사업자,1,부산광역시,40-45
150,sunga0121,22,여자,카카오톡광고,모바일,사업자,1,울산광역시,20-25
151,12641103@n,52,남자,블로그광고,PC,사업자,1,인천광역시,50-55
152,cote,54,남자,블로그광고,PC,사업자,1,서울특별시,50-55
153,bangasori,44,남자,블로그광고,PC,사업자,1,경기도,40-45
154,doc89,49,남자,블로그광고,PC,사업자,1,경상남도,45-50
155,love1203a,55,남자,블로그광고,모바일,사업자,1,서울특별시,55-60
156,cafelulu,43,여자,SNS광고,모바일,사업자,1,서울특별시,40-45
157,ilmifood,55,남자,블로그광고,PC,사업자,1,서울특별시,55-60
158,jssj0313,41,남자,SNS광고,모바일,사업자,1,경상북도,40-45
159,cent123,47,남자,블로그광고,PC,일반,1,경상남도,45-50
160,gksfud1,36,남자,이메일광고,PC,사업자,1,충청북도,35-40
161,linam333,47,여자,SNS광고,모바일,일반,1,인천광역시,45-50
162,betelk,45,남자,SNS광고,모바일,사업자,1,경기도,45-50
163,sarew81,47,여자,SNS광고,모바일,사업자,1,인천광역시,45-50
164,74352170@n,44,남자,블로그광고,PC,사업자,1,서울특별시,40-45
165,lav1393,41,여자,인터넷기사광고,PC,사업자,1,경기도,40-45
166,fbdmstj12,25,여자,이메일광고,PC,사업자,1,충청남도,25-30
167,gkxm0117,31,여자,이메일광고,PC,사업자,1,전라북도,30-35
168,misoo92,23,여자,이메일광고,PC,사업자,1,충청북도,20-25
169,shco1230,56,여자,블로그광고,PC,사업자,1,충청남도,55-60
170,wwkk0623,25,여자,카카오톡광고,모바일,일반,1,광주광역시,25-30
171,jihunf,32,남자,카카오톡광고,모바일,사업자,1,서울특별시,30-35
172,jlgud486,39,여자,SNS광고,모바일,사업자,1,부산광역시,35-40
173,59526758@n,47,여자,SNS광고,모바일,일반,1,경기도,45-50
174,noble602,44,남자,블로그광고,PC,사업자,1,경기도,40-45
175,airboracay,44,남자,블로그광고,PC,사업자,1,울산광역시,40-45
176,5664820@n,39,여자,인터넷기사광고,PC,사업자,1,경상남도,35-40
177,mission1013,56,여자,블로그광고,PC,사업자,1,대전광역시,55-60
178,jongroo,44,여자,SNS광고,모바일,사업자,1,제주특별자치도,40-45
179,padagi98,47,남자,SNS광고,모바일,일반,1,경기도,45-50
180,coroon,29,여자,이메일광고,PC,사업자,1,부산광역시,25-30
181,cidls83,44,남자,SNS광고,모바일,사업자,1,경기도,40-45
182,ghrltlathsu,52,남자,블로그광고,PC,사업자(수신거부),1,대전광역시,50-55
183,wb0606,43,여자,블로그광고,PC,사업자,1,서울특별시,40-45
184,ksj8040,35,여자,이메일광고,PC,사업자,1,경상남도,35-40
185,yestem,47,남자,블로그광고,PC,사업자,1,경상북도,45-50
186,jeongyujoo,49,남자,블로그광고,모바일,사업자,1,경상북도,45-50
187,kimflora,35,남자,카카오톡광고,모바일,사업자,1,경기도,35-40
188,kym7063,49,남자,블로그광고,모바일,사업자,1,전라남도,45-50
189,pjsyl,36,남자,이메일광고,PC,사업자,1,서울특별시,35-40
190,thesikgaek,54,남자,블로그광고,PC,사업자,1,서울특별시,50-55
191,park7478,48,남자,블로그광고,PC,사업자,1,경기도,45-50
192,lmj1379,31,남자,이메일광고,PC,사업자,1,충청남도,30-35
193,realkang,35,남자,이메일광고,PC,사업자,1,울산광역시,35-40
194,daega3,44,남자,블로그광고,PC,사업자,1,부산광역시,40-45
195,whtjsdhr10,58,남자,인터넷기사광고,PC,사업자,1,대전광역시,55-60
196,kyung2272,49,남자,블로그광고,PC,사업자,1,경기도,45-50
197,wowkiki1234,44,남자,SNS광고,모바일,사업자,1,전라북도,40-45
198,changhee31,43,여자,블로그광고,PC,사업자,1,경상북도,40-45
199,mi0545,44,남자,SNS광고,모바일,사업자,1,경상남도,40-45
200,babo8938,40,여자,SNS광고,모바일,사업자,1,경기도,40-45
201,kpo1414,60,여자,인터넷기사광고,PC,사업자,1,광주광역시,60-65
202,gaon,63,남자,인터넷기사광고,모바일,사업자,1,경상남도,60-65
203,th74ds,44,남자,SNS광고,모바일,사업자,1,대구광역시,40-45
204,bohu9315,44,남자,블로그광고,PC,사업자,1,경상남도,40-45
205,cute1093,41,남자,인터넷기사광고,PC,사업자,1,광주광역시,40-45
206,sm20091210,43,여자,블로그광고,PC,사업자,1,서울특별시,40-45
207,gusud7733,43,남자,블로그광고,PC,사업자,1,전라남도,40-45
208,chuheesuk,31,여자,이메일광고,PC,사업자,1,경기도,30-35
209,mapodak,43,여자,블로그광고,PC,사업자,1,서울특별시,40-45
210,asd6473,57,남자,인터넷기사광고,PC,사업자,1,대전광역시,55-60
211,usamifood,27,여자,이메일광고,PC,사업자,1,인천광역시,25-30
212,sorry048,44,남자,SNS광고,모바일,사업자,1,광주광역시,40-45
213,sejun87,33,남자,이메일광고,PC,사업자,1,서울특별시,30-35
214,whasan1369,40,남자,SNS광고,모바일,사업자,1,부산광역시,40-45
215,whasan8880,52,남자,블로그광고,모바일,사업자,1,경상북도,50-55
216,hyemin4011,44,남자,블로그광고,PC,사업자,1,전라남도,40-45
217,popo8956,31,여자,카카오톡광고,모바일,사업자,1,부산광역시,30-35
218,ksrkiki,42,남자,블로그광고,PC,사업자,1,경기도,40-45
219,kb8956,42,남자,블로그광고,PC,사업자,1,충청남도,40-45
220,s7razov,40,남자,인터넷기사광고,PC,사업자,1,인천광역시,40-45
221,flut1016,61,남자,인터넷기사광고,PC,사업자,1,경기도,60-65
222,rnjjang0220,55,남자,블로그광고,PC,사업자,1,경기도,55-60
223,flower213,49,여자,블로그광고,모바일,일반,1,경상남도,45-50
224,tjswjd82,44,남자,SNS광고,모바일,사업자,1,경기도,40-45
225,twinsson,42,남자,블로그광고,PC,사업자,1,경기도,40-45
226,hogahosik,44,남자,기타,모바일,사업자,1,경기도,40-45
227,ckh5020,40,남자,인터넷기사광고,PC,사업자,1,서울특별시,40-45
228,ogk72,32,남자,기타,PC,사업자,1,경기도,30-35
229,alslwus,42,남자,SNS광고,모바일,사업자,1,경기도,40-45
230,jogoya,38,남자,신문광고,PC,사업자,1,제주특별자치도,35-40
231,sy3927,47,남자,블로그광고,PC,일반,1,전라남도,45-50
232,sul1124,43,남자,SNS광고,모바일,사업자,1,경상북도,40-45
233,jgh00556,43,남자,SNS광고,모바일,사업자,1,경상북도,40-45
234,kjjanga,44,남자,블로그광고,PC,일반,1,전라북도,40-45
235,ljh08016,41,남자,기타,모바일,사업자,1,경기도,40-45
236,7377064@n,47,여자,SNS광고,모바일,일반,1,서울특별시,45-50
237,ckh1240,30,남자,이메일광고,PC,일반,1,충청남도,30-35
238,ce9909,44,남자,SNS광고,모바일,사업자,1,강원도,40-45
239,pyh0708,45,남자,지인추천,모바일,사업자,1,경기도,45-50
240,xiahua30000,40,남자,기타,모바일,일반,1,대구광역시,40-45
241,552629685@k,47,남자,블로그광고,PC,일반,1,인천광역시,45-50
242,lyr9444,47,남자,지인추천,모바일,일반,1,경상남도,45-50
243,kyung3980,46,남자,블로그광고,PC,일반,1,경상남도,45-50
244,18465128@n,47,여자,SNS광고,모바일,일반,1,경상남도,45-50
245,jjk1132,47,남자,SNS광고,모바일,일반,1,경상남도,45-50
246,kizm6844,43,여자,기타,PC,사업자,1,경상남도,40-45
247,dudtka2sys,45,남자,지인추천,PC,사업자,1,대전광역시,45-50
248,redmulchi,43,여자,SNS광고,모바일,사업자,1,인천광역시,40-45
249,ggam0503,36,남자,카카오톡광고,모바일,사업자,1,경상남도,35-40
250,sr220ja,42,남자,SNS광고,모바일,사업자,1,경기도,40-45
251,driving4,44,남자,SNS광고,모바일,사업자,1,대구광역시,40-45
252,khb1027,44,남자,SNS광고,모바일,사업자,1,경상남도,40-45
253,naorme,47,남자,블로그광고,PC,일반,1,세종특별자치시,45-50
254,ydw9666,42,남자,SNS광고,모바일,사업자,1,경상남도,40-45
255,jeong9628,43,남자,블로그광고,PC,사업자,1,경기도,40-45
256,tongdal2,47,남자,SNS광고,모바일,일반,1,경기도,45-50
257,73276386@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
258,1559740@n,47,여자,블로그광고,PC,일반,1,서울특별시,45-50
259,sonhoya200,48,남자,블로그광고,모바일,일반,1,부산광역시,45-50
260,gksrlffh,28,여자,이메일광고,PC,사업자,1,광주광역시,25-30
261,mhlee0213,53,남자,블로그광고,모바일,사업자,1,경기도,50-55
262,28810831@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
263,97013174@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
264,pje5,45,남자,SNS광고,모바일,사업자,1,대구광역시,45-50
265,21133407@n,47,남자,SNS광고,모바일,일반,1,서울특별시,45-50
266,2271552697@g,47,남자,블로그광고,PC,일반,1,인천광역시,45-50
267,77630455@n,47,남자,SNS광고,모바일,일반,1,경상남도,45-50
268,b11030,45,남자,기타,PC,사업자,1,경상북도,45-50
269,kotec987,49,남자,블로그광고,PC,사업자,1,부산광역시,45-50
270,mhscholl,42,남자,기타,PC,사업자,1,부산광역시,40-45
271,trainload,40,남자,SNS광고,모바일,사업자,1,강원도,40-45
272,117421346@n,47,남자,블로그광고,PC,일반,1,전라남도,45-50
273,141523440@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
274,17758271@n,47,여자,블로그광고,PC,일반,1,경기도,45-50
275,armada4332,47,남자,블로그광고,PC,일반,1,서울특별시,45-50
276,sinyangok,44,남자,블로그광고,PC,사업자,1,전라북도,40-45
277,85643404@n,40,남자,인터넷기사광고,PC,일반,1,대전광역시,40-45
278,bong1336,44,남자,블로그광고,PC,일반,1,부산광역시,40-45
279,leenara198,47,남자,블로그광고,PC,일반,1,대구광역시,45-50
280,kinamio,59,여자,지인추천,모바일,사업자,1,강원도,55-60
281,pearlkej7109,48,남자,블로그광고,모바일,일반,1,충청북도,45-50
282,bshjkk,40,남자,SNS광고,모바일,사업자,1,서울특별시,40-45
283,rcj8600,36,남자,이메일광고,PC,사업자,1,충청남도,35-40
284,565698760@k,46,남자,SNS광고,모바일,일반,1,세종특별자치시,45-50
285,cascadehy,25,남자,카카오톡광고,모바일,사업자,1,충청남도,25-30
286,38186506@n,35,남자,이메일광고,PC,일반,1,강원도,35-40
287,evita70,47,여자,블로그광고,PC,일반,1,경기도,45-50
288,33709872@n,25,남자,카카오톡광고,모바일,일반,1,서울특별시,25-30
289,bjo87,47,남자,SNS광고,모바일,일반,1,경상남도,45-50
290,jang6574,44,남자,잡지광고,PC,사업자,1,서울특별시,40-45
291,38296887@n,48,남자,블로그광고,모바일,사업자,1,경기도,45-50
292,caos66,54,남자,블로그광고,PC,사업자,1,인천광역시,50-55
293,gomani,47,남자,지인추천,PC,사업자,1,경기도,45-50
294,noom243,48,남자,블로그광고,모바일,일반,1,울산광역시,45-50
295,a1978cook,37,남자,신문광고,PC,사업자,1,서울특별시,35-40
296,oktexkr,24,여자,기타,PC,사업자,1,경기도,20-25
297,agnes0014,43,여자,블로그광고,PC,사업자,1,서울특별시,40-45
298,21640514@n,41,남자,SNS광고,모바일,사업자,1,경기도,40-45
299,44064303@n,43,여자,SNS광고,모바일,사업자,1,경상남도,40-45
300,50465325@n,47,남자,블로그광고,PC,일반,1,경기도,45-50
301,mornstar5,48,남자,블로그광고,모바일,사업자,1,울산광역시,45-50
302,tkdzma10,41,남자,SNS광고,모바일,사업자,1,대전광역시,40-45
303,573846735@k,44,남자,SNS광고,모바일,사업자,1,경상북도,40-45
304,daeduk,49,남자,블로그광고,모바일,사업자,1,부산광역시,45-50
305,yun4314,44,남자,블로그광고,PC,사업자,1,부산광역시,40-45
306,jangsung,43,여자,블로그광고,PC,사업자,1,서울특별시,40-45
307,pscgopsc,44,남자,SNS광고,모바일,사업자,1,서울특별시,40-45
308,101803789@n,47,남자,블로그광고,PC,일반,1,대구광역시,45-50
309,jwy4707,44,남자,블로그광고,PC,사업자,1,서울특별시,40-45
310,576879011@k,48,남자,블로그광고,모바일,일반,1,강원도,45-50
311,73987748@n,28,남자,카카오톡광고,모바일,일반,1,서울특별시,25-30
312,dsa767,47,남자,SNS광고,모바일,일반,1,경기도,45-50
313,jhs0948,45,남자,블로그광고,PC,사업자,1,경기도,45-50
314,21266583@n,22,여자,카카오톡광고,모바일,일반,1,경기도,20-25
315,khc1016,45,남자,블로그광고,PC,사업자,1,서울특별시,45-50
316,11178928@n,47,여자,SNS광고,모바일,일반,1,대전광역시,45-50
317,thgkfl,43,여자,블로그광고,PC,사업자,1,경기도,40-45
318,congee,41,남자,SNS광고,모바일,사업자,1,경기도,40-45
319,yamaha011,44,남자,SNS광고,모바일,사업자,1,경기도,40-45
320,22571771@n,47,남자,블로그광고,PC,일반,1,인천광역시,45-50
321,68381486@n,47,여자,SNS광고,모바일,일반,1,경상북도,45-50
322,50015450@n,46,남자,SNS광고,모바일,일반,1,경상남도,45-50
323,cmp1220,40,여자,SNS광고,모바일,사업자,1,서울특별시,40-45
324,ham4091,43,남자,블로그광고,PC,사업자,1,전라북도,40-45
325,cssac,42,남자,블로그광고,PC,사업자(수신거부),1,경상북도,40-45
326,57673820@n,40,남자,SNS광고,모바일,일반,1,대전광역시,40-45
327,36613291@n,47,남자,SNS광고,모바일,일반,1,경상남도,45-50
328,669481473@k,43,여자,블로그광고,PC,사업자,1,전라남도,40-45
329,hasoo0529,43,남자,SNS광고,모바일,사업자,1,강원도,40-45
330,lkyls1004,48,남자,블로그광고,모바일,사업자,1,인천광역시,45-50
331,realhy71,40,여자,SNS광고,모바일,사업자,1,서울특별시,40-45
332,kim7797,44,남자,블로그광고,PC,사업자,1,경상남도,40-45
333,29522193@n,43,남자,SNS광고,모바일,일반,1,서울특별시,40-45
334,down9048,44,남자,블로그광고,PC,사업자,1,인천광역시,40-45
335,junaoyagi0517,44,남자,SNS광고,모바일,사업자,1,서울특별시,40-45
336,mym5161,48,여자,블로그광고,모바일,사업자,1,대구광역시,45-50
337,voice222,47,남자,SNS광고,모바일,일반,1,인천광역시,45-50
338,48815922@n,43,남자,SNS광고,모바일,사업자,1,인천광역시,40-45
339,bbnam70,47,남자,블로그광고,PC,일반,1,전라남도,45-50
340,redfud99,43,남자,기타,PC,사업자,1,경기도,40-45
341,swoo2999,50,남자,블로그광고,모바일,사업자,1,서울특별시,50-55
342,111681891@n,40,여자,인터넷기사광고,PC,일반,1,경기도,40-45
343,qkrenl,41,남자,SNS광고,모바일,사업자,1,충청남도,40-45
344,48867707@n,47,남자,SNS광고,모바일,일반,1,경기도,45-50
345,candyluv2,47,남자,블로그광고,PC,사업자,1,전라남도,45-50
346,14295788@n,40,남자,인터넷기사광고,PC,일반,1,서울특별시,40-45
347,8615964@n,39,남자,SNS광고,모바일,일반,1,경기도,35-40
348,53651759@n,34,남자,카카오톡광고,모바일,일반(수신거부),1,경기도,30-35
349,alsrb8456,25,남자,이메일광고,PC,일반,1,충청남도,25-30
350,dbgndls54,41,남자,인터넷기사광고,PC,사업자,1,경상남도,40-45
351,pageone,44,남자,블로그광고,PC,사업자,1,충청남도,40-45
352,48233155@n,48,남자,블로그광고,모바일,일반,1,경상남도,45-50
353,dkek6666,47,남자,SNS광고,모바일,일반,1,충청북도,45-50
354,johnnyryuu,47,여자,블로그광고,PC,일반,1,서울특별시,45-50
355,kjin1789,45,남자,블로그광고,PC,사업자,1,경상남도,45-50
356,motoleesk,42,남자,SNS광고,모바일,사업자,1,경상북도,40-45
357,rlove07,45,남자,SNS광고,모바일,일반,1,충청북도,45-50
358,sarbia,44,남자,SNS광고,모바일,사업자,1,전라북도,40-45
359,rmxehfdl,44,남자,지인추천,모바일,사업자,1,충청남도,40-45
360,hm8547,40,남자,인터넷기사광고,PC,사업자,1,충청남도,40-45
361,jaetean,47,남자,SNS광고,모바일,일반,1,부산광역시,45-50
362,ohj27,30,여자,카카오톡광고,모바일,사업자,1,인천광역시,30-35
363,100738448@n,47,남자,블로그광고,PC,일반,1,강원도,45-50
364,15071898@n,48,남자,블로그광고,모바일,일반,1,경기도,45-50
365,35071896@n,48,남자,블로그광고,모바일,일반,1,충청남도,45-50
366,emme4777,53,남자,잡지광고,PC,사업자,1,전라북도,50-55
367,kjg5154126,44,남자,기타,PC,사업자,1,경상북도,40-45
368,paris8277,43,남자,지인추천,PC,사업자,1,광주광역시,40-45
369,rud9743,92,남자,잡지광고,모바일,사업자,1,전라남도,90-95
370,seing302,47,남자,SNS광고,모바일,일반,1,대구광역시,45-50
371,srs016,31,남자,이메일광고,PC,사업자,1,경기도,30-35
